datetime,casual,registered,count_direct_model,count
2011-01-20 00:00:00,0,14,15,14
2011-01-20 01:00:00,0,8,9,8
2011-01-20 02:00:00,0,4,5,4
2011-01-20 03:00:00,0,2,2,2
2011-01-20 04:00:00,0,2,2,2
2011-01-20 05:00:00,0,6,6,6
2011-01-20 06:00:00,0,21,20,21
2011-01-20 07:00:00,1,57,54,58
2011-01-20 08:00:00,3,106,102,109
2011-01-20 09:00:00,3,71,72,75
2011-01-20 10:00:00,5,49,55,54
2011-01-20 11:00:00,7,55,64,62
2011-01-20 12:00:00,9,75,86,84
2011-01-20 13:00:00,7,68,77,75
2011-01-20 14:00:00,8,61,72,69
2011-01-20 15:00:00,8,66,77,74
2011-01-20 16:00:00,8,90,99,98
2011-01-20 17:00:00,9,146,152,155
2011-01-20 18:00:00,6,126,126,132
2011-01-20 19:00:00,4,93,94,98
2011-01-20 20:00:00,3,66,66,69
2011-01-20 21:00:00,2,50,50,52
2011-01-20 22:00:00,1,38,38,39
2011-01-20 23:00:00,1,25,25,26
2011-01-21 00:00:00,1,14,15,15
2011-01-21 01:00:00,0,7,8,7
2011-01-21 02:00:00,0,2,2,2
2011-01-21 03:00:00,0,1,1,1
2011-01-21 04:00:00,0,1,2,1
2011-01-21 05:00:00,0,6,6,6
2011-01-21 06:00:00,0,22,22,22
2011-01-21 07:00:00,1,59,58,60
2011-01-21 08:00:00,4,112,110,115
2011-01-21 09:00:00,4,75,77,79
2011-01-21 10:00:00,5,48,55,53
2011-01-21 11:00:00,7,55,64,62
2011-01-21 12:00:00,8,70,79,78
2011-01-21 13:00:00,8,66,76,74
2011-01-21 14:00:00,8,59,70,67
2011-01-21 15:00:00,7,62,72,70
2011-01-21 16:00:00,8,89,96,96
2011-01-21 17:00:00,8,138,142,146
2011-01-21 18:00:00,6,131,131,137
2011-01-21 19:00:00,5,95,95,99
2011-01-21 20:00:00,3,66,66,69
2011-01-21 21:00:00,2,51,51,53
2011-01-21 22:00:00,1,37,37,39
2011-01-21 23:00:00,1,25,25,26
2011-01-22 00:00:00,1,11,13,12
2011-01-22 01:00:00,0,5,6,5
2011-01-22 02:00:00,0,3,4,3
2011-01-22 03:00:00,0,1,2,1
2011-01-22 04:00:00,0,1,1,1
2011-01-22 06:00:00,0,16,17,16
2011-01-22 07:00:00,2,45,48,47
2011-01-22 08:00:00,4,84,89,88
2011-01-22 09:00:00,6,60,68,65
2011-01-22 10:00:00,7,38,48,46
2011-01-22 11:00:00,9,44,56,53
2011-01-22 12:00:00,11,57,71,67
2011-01-22 13:00:00,14,61,80,75
2011-01-22 14:00:00,13,53,71,66
2011-01-22 15:00:00,15,60,79,75
2011-01-22 16:00:00,14,79,98,93
2011-01-22 17:00:00,18,136,163,154
2011-01-22 18:00:00,11,111,126,122
2011-01-22 19:00:00,9,84,96,93
2011-01-22 20:00:00,6,58,66,64
2011-01-22 21:00:00,5,47,54,52
2011-01-22 22:00:00,4,37,44,42
2011-01-22 23:00:00,2,22,26,25
2011-01-23 00:00:00,1,10,12,11
2011-01-23 01:00:00,0,5,6,5
2011-01-23 02:00:00,0,3,3,3
2011-01-23 03:00:00,0,1,2,1
2011-01-23 05:00:00,0,4,4,4
2011-01-23 06:00:00,0,15,16,15
2011-01-23 07:00:00,2,43,47,45
2011-01-23 08:00:00,4,79,85,83
2011-01-23 09:00:00,5,53,61,59
2011-01-23 10:00:00,8,36,46,44
2011-01-23 11:00:00,11,42,56,53
2011-01-23 12:00:00,11,52,66,63
2011-01-23 13:00:00,11,50,64,61
2011-01-23 14:00:00,13,46,63,59
2011-01-23 15:00:00,13,50,66,63
2011-01-23 16:00:00,13,70,88,83
2011-01-23 17:00:00,13,108,127,121
2011-01-23 18:00:00,11,103,119,114
2011-01-23 19:00:00,9,76,88,84
2011-01-23 20:00:00,6,54,63,60
2011-01-23 21:00:00,5,42,49,47
2011-01-23 22:00:00,4,32,37,36
2011-01-23 23:00:00,2,20,23,22
2011-01-24 00:00:00,0,11,12,11
2011-01-24 01:00:00,0,5,6,5
2011-01-24 03:00:00,0,1,1,1
2011-01-24 04:00:00,0,1,1,1
2011-01-24 05:00:00,0,4,4,4
2011-01-24 06:00:00,0,17,16,17
2011-01-24 07:00:00,1,48,47,49
2011-01-24 08:00:00,2,92,90,95
2011-01-24 09:00:00,3,65,67,69
2011-01-24 10:00:00,5,42,48,46
2011-01-24 11:00:00,5,45,52,50
2011-01-24 12:00:00,5,54,61,60
2011-01-24 13:00:00,5,52,59,57
2011-01-24 14:00:00,5,46,54,51
2011-01-24 15:00:00,7,55,64,61
2011-01-24 16:00:00,6,72,80,79
2011-01-24 17:00:00,6,111,116,118
2011-01-24 18:00:00,5,104,106,109
2011-01-24 19:00:00,4,79,82,83
2011-01-24 20:00:00,3,56,58,59
2011-01-24 21:00:00,2,44,45,46
2011-01-24 22:00:00,1,32,32,33
2011-01-24 23:00:00,1,21,22,22
2011-01-25 00:00:00,0,11,11,11
2011-01-25 01:00:00,0,6,6,6
2011-01-25 02:00:00,0,3,3,3
2011-01-25 04:00:00,0,1,1,1
2011-01-25 05:00:00,0,5,4,5
2011-01-25 06:00:00,0,18,17,18
2011-01-25 07:00:00,0,47,44,47
2011-01-25 08:00:00,2,88,83,90
2011-01-25 09:00:00,3,65,65,68
2011-01-25 10:00:00,4,43,48,47
2011-01-25 11:00:00,5,48,55,53
2011-01-25 12:00:00,7,63,71,70
2011-01-25 13:00:00,6,59,68,66
2011-01-25 14:00:00,8,59,71,67
2011-01-25 15:00:00,9,65,77,74
2011-01-25 16:00:00,9,89,101,99
2011-01-25 17:00:00,11,145,156,156
2011-01-25 18:00:00,7,126,130,133
2011-01-25 19:00:00,4,84,85,88
2011-01-25 20:00:00,3,62,64,65
2011-01-25 21:00:00,2,48,49,50
2011-01-25 22:00:00,2,37,38,39
2011-01-25 23:00:00,1,24,24,25
2011-01-26 00:00:00,0,13,13,13
2011-01-26 01:00:00,0,6,7,6
2011-01-26 02:00:00,0,2,2,2
2011-01-26 05:00:00,0,2,2,2
2011-01-26 06:00:00,0,10,9,10
2011-01-26 07:00:00,0,29,27,29
2011-01-26 08:00:00,1,56,50,56
2011-01-26 09:00:00,1,38,36,39
2011-01-26 10:00:00,1,24,25,25
2011-01-26 11:00:00,2,26,28,28
2011-01-26 12:00:00,2,33,34,35
2011-01-26 13:00:00,2,32,33,33
2011-01-26 14:00:00,2,28,30,30
2011-01-26 15:00:00,2,29,31,31
2011-01-26 16:00:00,3,62,67,65
2011-01-26 17:00:00,2,66,63,68
2011-01-27 16:00:00,6,86,92,92
2011-01-27 17:00:00,8,140,143,148
2011-01-27 18:00:00,5,126,124,131
2011-01-27 19:00:00,4,93,92,97
2011-01-27 20:00:00,3,66,66,69
2011-01-27 21:00:00,2,51,51,53
2011-01-27 22:00:00,2,40,40,41
2011-01-27 23:00:00,1,25,25,26
2011-01-28 00:00:00,1,14,15,14
2011-01-28 01:00:00,0,7,8,7
2011-01-28 02:00:00,0,4,4,4
2011-01-28 03:00:00,0,2,2,2
2011-01-28 05:00:00,0,6,5,6
2011-01-28 06:00:00,0,20,19,20
2011-01-28 07:00:00,1,54,51,55
2011-01-28 08:00:00,3,102,97,104
2011-01-28 09:00:00,2,44,44,46
2011-01-28 10:00:00,2,28,31,31
2011-01-28 11:00:00,3,31,35,34
2011-01-28 12:00:00,3,39,42,42
2011-01-28 13:00:00,3,37,41,40
2011-01-28 14:00:00,4,37,43,41
2011-01-28 15:00:00,7,62,71,69
2011-01-28 16:00:00,9,92,102,101
2011-01-28 17:00:00,9,142,149,151
2011-01-28 18:00:00,7,131,133,137
2011-01-28 19:00:00,5,94,96,100
2011-01-28 20:00:00,4,69,70,72
2011-01-28 21:00:00,3,52,54,55
2011-01-28 22:00:00,2,42,43,44
2011-01-28 23:00:00,2,29,31,31
2011-01-29 00:00:00,2,12,16,14
2011-01-29 01:00:00,1,7,9,8
2011-01-29 02:00:00,1,4,5,4
2011-01-29 03:00:00,0,2,3,2
2011-01-29 04:00:00,0,1,2,1
2011-01-29 06:00:00,1,19,21,19
2011-01-29 07:00:00,3,52,58,55
2011-01-29 08:00:00,7,100,112,107
2011-01-29 09:00:00,9,69,82,78
2011-01-29 10:00:00,10,42,55,52
2011-01-29 11:00:00,11,46,61,58
2011-01-29 12:00:00,13,58,74,71
2011-01-29 13:00:00,14,58,76,72
2011-01-29 14:00:00,14,51,69,65
2011-01-29 15:00:00,14,55,73,69
2011-01-29 16:00:00,16,81,103,97
2011-01-29 17:00:00,21,137,167,157
2011-01-29 18:00:00,13,117,137,131
